ticket_id,ticket_number,booking_id,passenger_id,fare_class_code,issue_date_utc,ticket_status
TKT-00275,0700000000275,BKG-00172,PSG-00033,PREMY,2025-12-25T09:00:00Z,issued
TKT-00276,0700000000276,BKG-00173,PSG-00037,ECOFL,2025-12-20T09:00:00Z,issued
TKT-00277,0700000000277,BKG-00173,PSG-00145,ECOFL,2025-12-20T09:00:00Z,issued
TKT-00278,0700000000278,BKG-00174,PSG-00027,ECOSV,2026-01-03T09:00:00Z,issued
TKT-00279,0700000000279,BKG-00174,PSG-00041,ECOSV,2026-01-03T09:00:00Z,issued
TKT-00280,0700000000280,BKG-00175,PSG-00053,FIRST,2025-11-05T09:00:00Z,issued
TKT-00281,0700000000281,BKG-00175,PSG-00086,FIRST,2025-11-05T09:00:00Z,issued
TKT-00282,0700000000282,BKG-00176,PSG-00130,ECOSV,2025-12-01T09:00:00Z,issued
TKT-00283,0700000000283,BKG-00177,PSG-00148,ECOFL,2025-12-14T09:00:00Z,issued
TKT-00284,0700000000284,BKG-00177,PSG-00055,ECOFL,2025-12-14T09:00:00Z,issued
TKT-00285,0700000000285,BKG-00177,PSG-00023,ECOFL,2025-12-14T09:00:00Z,issued
TKT-00286,0700000000286,BKG-00178,PSG-00103,BIZSV,2025-12-21T09:00:00Z,cancelled
TKT-00287,0700000000287,BKG-00179,PSG-00121,FIRST,2025-11-14T09:00:00Z,issued
TKT-00288,0700000000288,BKG-00179,PSG-00007,FIRST,2025-11-14T09:00:00Z,issued
TKT-00289,0700000000289,BKG-00180,PSG-00001,PREMY,2026-01-05T09:00:00Z,issued
TKT-00290,0700000000290,BKG-00180,PSG-00053,PREMY,2026-01-05T09:00:00Z,issued
