ticket_segment_id,ticket_id,segment_sequence,flight_instance_id,cabin,fare_basis_code,segment_status
SEG-00387,TKT-00261,1,FLT-00113,Y,YFLECO,flown
SEG-00388,TKT-00261,2,FLT-00126,Y,YFLECO,flown
SEG-00389,TKT-00262,1,FLT-00458,F,FFLFST,flown
SEG-00390,TKT-00263,1,FLT-00153,F,FFLFST,flown
SEG-00391,TKT-00264,1,FLT-00153,F,FFLFST,flown
SEG-00392,TKT-00265,1,FLT-00426,Y,YFLECO,confirmed
SEG-00393,TKT-00265,2,FLT-00402,Y,YFLECO,confirmed
SEG-00394,TKT-00266,1,FLT-00426,Y,YFLECO,confirmed
SEG-00395,TKT-00266,2,FLT-00402,Y,YFLECO,confirmed
SEG-00396,TKT-00267,1,FLT-00426,Y,YFLECO,confirmed
SEG-00397,TKT-00267,2,FLT-00402,Y,YFLECO,confirmed
SEG-00398,TKT-00268,1,FLT-00444,C,CNRBIZ,confirmed
SEG-00399,TKT-00269,1,FLT-00183,F,FFLFST,flown
SEG-00400,TKT-00269,2,FLT-00214,F,FFLFST,confirmed
SEG-00401,TKT-00270,1,FLT-00183,F,FFLFST,flown
SEG-00402,TKT-00270,2,FLT-00214,F,FFLFST,confirmed
SEG-00403,TKT-00271,1,FLT-00569,C,CNRBIZ,flown
SEG-00404,TKT-00272,1,FLT-00270,C,CFLBIZ,confirmed
SEG-00405,TKT-00273,1,FLT-00270,C,CFLBIZ,confirmed
SEG-00406,TKT-00274,1,FLT-00491,W,WFLPEY,flown
SEG-00407,TKT-00274,2,FLT-00477,W,WFLPEY,flown
SEG-00408,TKT-00275,1,FLT-00491,W,WFLPEY,flown
SEG-00409,TKT-00275,2,FLT-00477,W,WFLPEY,flown
SEG-00410,TKT-00276,1,FLT-00601,Y,YFLECO,flown
SEG-00411,TKT-00277,1,FLT-00601,Y,YFLECO,flown
SEG-00412,TKT-00278,1,FLT-00724,Y,QOWECO,confirmed
SEG-00413,TKT-00278,2,FLT-00756,Y,QOWECO,confirmed
SEG-00414,TKT-00279,1,FLT-00724,Y,QOWECO,confirmed
SEG-00415,TKT-00279,2,FLT-00756,Y,QOWECO,confirmed
SEG-00416,TKT-00280,1,FLT-00663,F,FFLFST,flown
SEG-00417,TKT-00280,2,FLT-00653,F,FFLFST,flown
SEG-00418,TKT-00281,1,FLT-00663,F,FFLFST,flown
SEG-00419,TKT-00281,2,FLT-00653,F,FFLFST,flown
SEG-00420,TKT-00282,1,FLT-00597,Y,QOWECO,flown
SEG-00421,TKT-00283,1,FLT-00752,Y,YFLECO,confirmed
SEG-00422,TKT-00283,2,FLT-00726,Y,YFLECO,confirmed
SEG-00423,TKT-00284,1,FLT-00752,Y,YFLECO,confirmed
SEG-00424,TKT-00284,2,FLT-00726,Y,YFLECO,confirmed
SEG-00425,TKT-00285,1,FLT-00752,Y,YFLECO,confirmed
SEG-00426,TKT-00285,2,FLT-00726,Y,YFLECO,confirmed
SEG-00427,TKT-00286,1,FLT-00852,C,CNRBIZ,cancelled
SEG-00428,TKT-00287,1,FLT-00071,F,FFLFST,flown
SEG-00429,TKT-00287,2,FLT-00094,F,FFLFST,flown
SEG-00430,TKT-00288,1,FLT-00071,F,FFLFST,flown
SEG-00431,TKT-00288,2,FLT-00094,F,FFLFST,flown
SEG-00432,TKT-00289,1,FLT-00214,W,WFLPEY,confirmed
SEG-00433,TKT-00290,1,FLT-00214,W,WFLPEY,confirmed
