booking_id,booking_reference,airline_code,route_id,return_route_id,trip_type,booking_channel,booking_date_utc,point_of_sale_country,currency,status,corporate_account_id,travel_agent_id,discount_code,outbound_flight_instance_id,return_flight_instance_id
BKG-00163,8XE87V,NB,RTE-00005,RTE-00006,round_trip,corporate_portal,2025-12-06T09:00:00Z,NL,EUR,confirmed,CORP-001,,CORP-CORP-001,FLT-00068,FLT-00093
BKG-00164,P2V7ME,NB,RTE-00007,RTE-00008,round_trip,call_center,2025-12-01T09:00:00Z,FR,EUR,confirmed,,,,FLT-00113,FLT-00126
BKG-00165,66C52X,PC,RTE-00027,,one_way,mobile_app,2025-12-23T09:00:00Z,IT,EUR,confirmed,,TA-002,,FLT-00458,
BKG-00166,M9T4GG,ZM,RTE-00009,,one_way,corporate_portal,2025-11-28T09:00:00Z,US,USD,confirmed,CORP-001,,CORP-CORP-001,FLT-00153,
BKG-00167,5DA2VZ,SL,RTE-00024,RTE-00023,round_trip,direct_website,2025-12-26T09:00:00Z,BR,BRL,confirmed,,,,FLT-00426,FLT-00402
BKG-00168,LGRZBJ,PC,RTE-00025,,one_way,corporate_portal,2026-01-01T09:00:00Z,NL,EUR,confirmed,CORP-001,,CORP-CORP-001,FLT-00444,
BKG-00169,3K8XQ3,ZM,RTE-00011,RTE-00012,round_trip,travel_agent,2025-12-22T09:00:00Z,JP,JPY,confirmed,,TA-003,,FLT-00183,FLT-00214
BKG-00170,JPPV6L,DF,RTE-00033,,one_way,call_center,2025-11-18T09:00:00Z,CN,CNY,confirmed,,TA-004,,FLT-00569,
BKG-00171,ZS6UK5,ZM,RTE-00015,,one_way,corporate_portal,2025-12-19T09:00:00Z,SG,SGD,confirmed,CORP-004,,CORP-CORP-004,FLT-00270,
BKG-00172,GWMSZN,PC,RTE-00028,RTE-00027,round_trip,corporate_portal,2025-12-25T09:00:00Z,AU,AUD,confirmed,CORP-001,,CORP-CORP-001,FLT-00491,FLT-00477
BKG-00173,XZ4RE7,DF,RTE-00034,,one_way,corporate_portal,2025-12-20T09:00:00Z,ZA,ZAR,confirmed,CORP-004,,CORP-CORP-004,FLT-00601,
BKG-00174,E5KPUQ,SX,RTE-00041,RTE-00042,round_trip,travel_agent,2026-01-03T09:00:00Z,SG,SGD,confirmed,,TA-006,,FLT-00724,FLT-00756
BKG-00175,V82M99,DF,RTE-00038,RTE-00037,round_trip,direct_website,2025-11-05T09:00:00Z,SG,SGD,confirmed,,,,FLT-00663,FLT-00653
BKG-00176,DCHLPS,DF,RTE-00034,,one_way,corporate_portal,2025-12-01T09:00:00Z,AU,AUD,confirmed,CORP-005,,CORP-CORP-005,FLT-00597,
BKG-00177,UFYJ5B,SX,RTE-00042,RTE-00041,round_trip,call_center,2025-12-14T09:00:00Z,DE,EUR,confirmed,,,,FLT-00752,FLT-00726
BKG-00178,BKFHJU,SX,RTE-00048,,one_way,mobile_app,2025-12-21T09:00:00Z,BR,BRL,cancelled,,,,FLT-00852,
BKG-00179,SNWFYD,NB,RTE-00005,RTE-00006,round_trip,call_center,2025-11-14T09:00:00Z,AU,AUD,confirmed,,,,FLT-00071,FLT-00094
BKG-00180,9SDEDW,ZM,RTE-00012,,one_way,direct_website,2026-01-05T09:00:00Z,FR,EUR,confirmed,,TA-001,,FLT-00214,
